Time, Depth, Velocity_Major, meanFloodDir, meanEbbDir, Bin,datetime
,31.1,-38.9,113.0,306.0,49,2025-10-21 00:00:00
,31.1,-70.5,113.0,306.0,49,2025-10-21 01:00:00
,31.1,-94.2,113.0,306.0,49,2025-10-21 02:00:00
,31.1,-103.2,113.0,306.0,49,2025-10-21 03:00:00
,31.1,-95.9,113.0,306.0,49,2025-10-21 04:00:00
,31.1,-77.2,113.0,306.0,49,2025-10-21 05:00:00
,31.1,-52.3,113.0,306.0,49,2025-10-21 06:00:00
,31.1,-23.2,113.0,306.0,49,2025-10-21 07:00:00
,31.1,6.9,113.0,306.0,49,2025-10-21 08:00:00
,31.1,30.3,113.0,306.0,49,2025-10-21 09:00:00
,31.1,38.5,113.0,306.0,49,2025-10-21 10:00:00
,31.1,30.3,113.0,306.0,49,2025-10-21 11:00:00
,31.1,10.1,113.0,306.0,49,2025-10-21 12:00:00
,31.1,-16.0,113.0,306.0,49,2025-10-21 13:00:00
,31.1,-41.1,113.0,306.0,49,2025-10-21 14:00:00
,31.1,-57.2,113.0,306.0,49,2025-10-21 15:00:00
,31.1,-60.5,113.0,306.0,49,2025-10-21 16:00:00
,31.1,-53.3,113.0,306.0,49,2025-10-21 17:00:00
,31.1,-39.8,113.0,306.0,49,2025-10-21 18:00:00
,31.1,-22.1,113.0,306.0,49,2025-10-21 19:00:00
,31.1,-2.2,113.0,306.0,49,2025-10-21 20:00:00
,31.1,13.2,113.0,306.0,49,2025-10-21 21:00:00
,31.1,15.5,113.0,306.0,49,2025-10-21 22:00:00
,31.1,1.8,113.0,306.0,49,2025-10-21 23:00:00
,31.1,-24.0,113.0,306.0,49,2025-10-22 00:00:00
,31.1,-55.7,113.0,306.0,49,2025-10-22 01:00:00
,31.1,-85.4,113.0,306.0,49,2025-10-22 02:00:00
,31.1,-103.6,113.0,306.0,49,2025-10-22 03:00:00
,31.1,-104.9,113.0,306.0,49,2025-10-22 04:00:00
,31.1,-91.0,113.0,306.0,49,2025-10-22 05:00:00
,31.1,-67.7,113.0,306.0,49,2025-10-22 06:00:00
,31.1,-39.2,113.0,306.0,49,2025-10-22 07:00:00
,31.1,-8.5,113.0,306.0,49,2025-10-22 08:00:00
,31.1,19.1,113.0,306.0,49,2025-10-22 09:00:00
,31.1,36.0,113.0,306.0,49,2025-10-22 10:00:00
,31.1,38.0,113.0,306.0,49,2025-10-22 11:00:00
,31.1,26.1,113.0,306.0,49,2025-10-22 12:00:00
,31.1,4.0,113.0,306.0,49,2025-10-22 13:00:00
,31.1,-22.5,113.0,306.0,49,2025-10-22 14:00:00
,31.1,-45.3,113.0,306.0,49,2025-10-22 15:00:00
,31.1,-57.0,113.0,306.0,49,2025-10-22 16:00:00
,31.1,-56.5,113.0,306.0,49,2025-10-22 17:00:00
,31.1,-47.0,113.0,306.0,49,2025-10-22 18:00:00
,31.1,-31.6,113.0,306.0,49,2025-10-22 19:00:00
,31.1,-13.2,113.0,306.0,49,2025-10-22 20:00:00
,31.1,3.5,113.0,306.0,49,2025-10-22 21:00:00
,31.1,11.9,113.0,306.0,49,2025-10-22 22:00:00
,31.1,7.0,113.0,306.0,49,2025-10-22 23:00:00
,31.1,-11.4,113.0,306.0,49,2025-10-23 00:00:00
,31.1,-39.6,113.0,306.0,49,2025-10-23 01:00:00
,31.1,-70.8,113.0,306.0,49,2025-10-23 02:00:00
,31.1,-95.9,113.0,306.0,49,2025-10-23 03:00:00
,31.1,-106.7,113.0,306.0,49,2025-10-23 04:00:00
,31.1,-100.9,113.0,306.0,49,2025-10-23 05:00:00
,31.1,-82.1,113.0,306.0,49,2025-10-23 06:00:00
,31.1,-55.2,113.0,306.0,49,2025-10-23 07:00:00
,31.1,-25.1,113.0,306.0,49,2025-10-23 08:00:00
,31.1,3.4,113.0,306.0,49,2025-10-23 09:00:00
,31.1,25.3,113.0,306.0,49,2025-10-23 10:00:00
,31.1,36.2,113.0,306.0,49,2025-10-23 11:00:00
,31.1,33.8,113.0,306.0,49,2025-10-23 12:00:00
,31.1,19.1,113.0,306.0,49,2025-10-23 13:00:00
,31.1,-4.1,113.0,306.0,49,2025-10-23 14:00:00
,31.1,-28.7,113.0,306.0,49,2025-10-23 15:00:00
,31.1,-46.9,113.0,306.0,49,2025-10-23 16:00:00
,31.1,-54.2,113.0,306.0,49,2025-10-23 17:00:00
,31.1,-50.8,113.0,306.0,49,2025-10-23 18:00:00
,31.1,-39.0,113.0,306.0,49,2025-10-23 19:00:00
,31.1,-22.7,113.0,306.0,49,2025-10-23 20:00:00
,31.1,-6.8,113.0,306.0,49,2025-10-23 21:00:00
,31.1,4.2,113.0,306.0,49,2025-10-23 22:00:00
,31.1,6.3,113.0,306.0,49,2025-10-23 23:00:00
